"Codigo Legem";"Atividade";"Comentarios";"vara"
"122492";"TRÂNSITO EM JULGADO";"";"2o JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"268807";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Aguardando Julgamento do Recurso Inominado Interpo";"12º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSU"
"111667";"EDcl - OPOSTOS PELO AUTOR/RÉU";"";"- PROCON - ESTADUAL"
"125251";"SENTENÇA - CONCLUSOS PARA";"";"- PROCON - ESTADUAL"
"14165";"TRÂNSITO EM JULGADO";"ARQUIVADO";"8ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"14165";"TRÂNSITO EM JULGADO";"TRANSITO EM JULGADO JA FATURADO";"8ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"3331986";"SENTENÇA - CONCLUSOS PARA";"Aguardando Preparo para Defesa.";"15a VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
